Address,lat,lng
"3895 Church Street, Clarkston, GA 30021, USA",33.8077297,-84.2399398
"7665 Honey Abbey, Koggiung, MA",58.86694439999999,-157.0075001
"9974 Round Bluff Villas, Hemp, NH",43.1938516,-71.5723953
"1103 Bombay Lane, Roswell, GA 30076, USA",34.053926,-84.33830909999999
"8462 Lazy Walk, Lumpkin, VA",37.4315734,-78.6568942
"4716 Cinder Cider Green, Bowbells, NH",48.8030833,-102.2460008
"7206 Hidden Alley, Badnation, HI",43.6516598,-100.3698566
"2991 Middle Branch Corner, Baltimore, MS",39.2628929,-76.6312911
"4501 Harvest Lagoon Trail, Screamer, VT",44.5588028,-72.57784149999999
“6375 Spalding Drive Suite B Norcross”,33.969213,-84.2578815
"4675 Highway 27 North, Carrollton, GA",33.67345299999999,-85.15016399999999
5370 Ash Street,33.6077576,-84.3631616
"1978 Mount Vernon Road, Atlanta, GA 30338, USA",33.9512386,-84.3205938
"4827 Indian Wharf, Dew Drop, NH, 03637-1315",43.1938516,-71.5723953
"9418 Lost Stead, Sioux Lookout, ME",50.0978321,-91.922038
"3185 Rocky Valley, Bumble Bee, ND",47.5514926,-101.0020119
"180 Foggy Lane, Line Store, MS",,
"4535 Silent Freeway, Bamboo, KY",37.8393332,-84.2700179
"6109 Bright Loop, Gaysport, WV",35.8838968,-78.736694
"8407 Fallen Moor, Oklahoma, WI",42.9882217,-88.00514919999999
"1761 Wishing Row, Churchill, PA",40.438402,-79.8431042
"6704 Little Quail Beach, Khwunrghunme, PA",41.2033216,-77.1945247
"5167 Gentle Butterfly Arbor, Absaraka",46.97763339999999,-97.3953528
"3837 Jagged Rise Point, Glenavon, ID",,
"3230 Cotton Diversion, New Market, AZ",34.0489281,-111.0937311
"1684 Colonial Prairie Parade, Dry Prong, SD",31.5812854,-92.53292019999999
"249 Waddell Street, Athens, GA",33.9538388,-83.3792311
"4889 Burning Horse Circuit, Hanna, NY",,
"99 Shady Bear Extension, Chuloonawick, GA",32.1656221,-82.9000751
"662 Colonial Beacon Highway, Kracker Station, OK",32.277369,-89.68535089999999
"2625 Middle Townline, Dot, CT",41.6032207,-73.087749
"2470 Crystal Bay, Chaplin, MS",39.2278272,-120.0047095
"4368 Hartley Bridge Road, Macon, GA",32.742335,-83.71754500000002
"1183 Golden Cape, Chew, ME",,
"8276 Easy Towers, Cantaloupe, TX",31.9685988,-99.9018131
"6278 Umber Lake Downs, Glen Comfort, TN",40.3935948,-105.4402726
"3199 Merry Maze, Powassan, UT",30.2849185,-97.7340567
"1310 Emerald Meadow, Folly, SD",29.71658,-95.78330059999999
"1125 Cozy Elk Centre, Wakatomika, SD",45.5485024,-122.6677464
"4350 Rocky Ridge, Rodney, CT",43.0645236,-89.3927229
"9678 Stony Branch Park, Curtin, WV",38.5976262,-80.4549026
"8447 Lazy Glade, Cloud Chief, ND",35.2525543,-98.843127
"1983 Little Anchor Private, Riverview, CT",41.6032207,-73.087749
"4564 Pleasant Sky Front, Counselor, CO",33.1563478,-94.9737104
"5942 Honey Blossom Freeway, Busti, MA",42.4072107,-71.3824374
"7327 Tawny Hills Way, Buffalolick, ID",,
"8335 Heather Edge, Thistledown, WV",38.5976262,-80.4549026
"1967 Grand Rabbit Pointe, Radical, CT",41.6032207,-73.087749
"3100 8th Street, Columbus, GA",32.459659,-84.94504599999999
"1203 Cozy Mews, Idahome, VT",44.5588028,-72.57784149999999
"6025 Gentle Robin Parkway, Live Easy, AR",,
"3967 Hidden Vale, Obsidian, MO",37.9642529,-91.8318334
"4896 Shady Drive, Toy, MS",,
"6616 Heather Spring Road, Duval, AZ",30.3500511,-81.6035062
"5157 Velvet Place, Fort Fizzle, SC",33.836081,-81.1637245
"8621 Stony Alley, Tobasco, IN",,
"2823 Merry Beacon Highlands, Horse Shoe Run, CA",39.2709385,-79.5142206
"5756 Old Manor, Star, PA",41.2033216,-77.1945247
"197 Indian Park, Birds Landing, SD",,
"1290 Dusty Rise, Kerrobert, NJ",51.9185447,-109.136794
"4172 Broad Wynd, Beaverton, NE",45.4887993,-122.8013332
"2450 Northwest 150th Street, Opa-locka, FL",25.9106846,-80.2421513
"4471 Bright Pines, Pilot Butte, NJ",35.174722,-79.392493
"7722 Quaking Arbor, Prohibition City, NJ",40.0583238,-74.4056612
"5617 Green Range, Tumtum, OH",47.89119849999999,-117.6843461
"4190 Rocky Brook Grounds, Trump, AZ",32.3561374,-111.1249825
"3074 Middle Pond Corner, Vibank, ID",50.3341298,-103.9458113
"4228 Cinder Wagon Gardens, Dovetail, MS",,
"12303 Southwest 133rd Court, Miami, FL",25.652899,-80.41042499999999
"7843 Fallen Carrefour, Rocky Ripple, HI",39.848097,-86.1724881
"8215 Blue Concession, Vixen, CO",,
"4661 Hazy Autoroute, Coffee City, IL",32.128173,-95.4987245
"4540 Silent Villas, Cinderella, GA",32.1656221,-82.9000751
"2149 Merry View Hill, Klickitat, TX",32.7405267,-97.1806795
"239 Green Quay, Dilly, WY",43.0759678,-107.2902839
"4351 Emerald Beach, Thrashers Corner, AK",47.8089866,-122.2079056
"1689 Osprey Bend, Weston, FL",26.1264403,-80.4164385
"7033 Jagged Turnabout, Satsop, HI",47.0031512,-123.4834945
"3168 Easy Way, Buchanan, AK",64.2008413,-149.4936733
"5185 Silver Panda Freeway, Rembrandt, VA",37.4315734,-78.6568942
"3483 Middle Robin Lane, Snow Tent, WA",47.7510741,-120.7401385
"75 East Indiantown Road, Concourse Village Shopping Center, Jupiter, FL",26.9352309,-80.09232519999999
"9561 Amber Leaf Mountain, Hat Creek, PA",41.2033216,-77.1945247
"7609 Cinder Treasure Lookout, Bootleg, HI",,
"747 Golden Gardens, Village Thirteen, KS",39.011902,-98.4842465
"6143 Tawny Branch Valley, Chapultepee, ID",44.2230142,-91.2812698
"3323 Little Ramp, Milk River, AK",64.2008413,-149.4936733
"91 Wishing Plaza, Modest, AZ",34.0489281,-111.0937311
"69 Clark Drive, Russellville, AL",34.4802285,-87.72716989999999
"6163 Old Subdivision, Daysland, ME",52.8655076,-112.2616348
"470 Thunder Green, Lumpkin, AR",,
"8868 Colonial Rise Orchard, Land of Pines, PA",30.5761133,-90.1355135
"4390 Sunny Mews, Sacred Heart, KY",37.8393332,-84.2700179
"9994 Rocky Cape, Goodtown, TN",-40.9175428,145.4782351
"4791 Umber Panda Grounds, Chuckanut, MO",48.5945323,-122.4217819
"9134 Gentle Cloud Avenue, Speers, MN",46.729553,-94.6858998
"6307 Dusty Sky Bend, Drumright, TN",44.0581728,-121.3153096
"9592 Noble Rabbit Crest, X-Prairie, ID",44.0682019,-114.7420408
"107 East 3rd Avenue, Crossett, AR 71635",33.132316,-91.96064799999999
"6628 Shady Point, Weeping Mary, MA",42.5553125,-71.68975929999999
"6140 Thunder Wood, Contoocook, MN",43.2220234,-71.7139655
"91 Tower Dr., Derry, NH 03038",42.8806437,-71.3273346
"29 E. Woodsman Street, Biloxi, MS 39532",30.5007553,-88.96053649999999
"19 Lancaster Street, Greensboro, NC 27405",36.1155274,-79.7512033
"811 Swanson St., Chesterton, IN 46304",41.6104929,-87.0604779
"470 Locust Drive Reno, NV 89523",39.5213626,-119.8003628
"105 Mountainview St., Bountiful, UT 84010",40.8852511,-111.8667729
"41 Ashley Ave., Taylor, MI 48180",42.2164077,-83.2720082
"40 N. Arch Road, Wilmette, IL 60091",42.08057429999999,-87.7320368
"7139 Madison Dr. Sulphur, LA 70663",30.2223211,-93.32974689999999
"838 Corona Rd. Owosso, MI 48867",43.0089792,-84.20679919999999
"59 E. Philmont Rd., Edison, NJ 08817",40.5063715,-74.383363
"7474 Carpenter St. Chesterfield, VA 23832",37.3770935,-77.5049863
"17 Gonzales Street Oak Lawn, IL 60453",41.719978,-87.7479528
"17 Pennsylvania Dr., Vincentown, NJ 08088",41.2033216,-77.1945247
"58 Thorne St. Alabaster, AL 35007",33.2288218,-86.7919009
"364 Gonzales Rd. Lansing, MI 48910",42.7043124,-84.5327038
"82 Ann Drive, Frederick, MD 21701",39.417902,-77.410286
"186 Armstrong Street Omaha, NE 68107",41.3039161,-96.1554269
"833 N. Roosevelt Ave., Joliet, IL 60435",41.5416201,-88.10802559999999
"76 Helen St. Yua, City, CA 95993",39.1258583,-121.6279333
"9825 Ridgeview St., Greenwood, SC 29646",34.1954001,-82.1617883
"9675 Sugar Court, Saint Joseph, MI 49085",42.0938577,-86.4895463
"154 Brickyard Dr., Conyers, GA 30012",33.7177663,-83.99558789999999
"758 Walnutwood Lane, Stratford, CT 06614",41.1995528,-73.1306731
"304 Airport St., Adrian, MI 49221",41.8818264,-84.0629286
"618 Augusta Lane, Mooresville, NC 28115",35.5804111,-80.804743
"781 Bedford Street, Camas, WA 98607",45.5874666,-122.4045037
"881 West Pennsylvania Court, Salem, MA 01970",42.5233226,-70.8966427
"78 Shore Ave., Monroe Township, NJ 08831",40.336419,-74.43304739999999
"81 Jefferson Ave., Gibsonia, PA 15044",40.6300567,-79.9703318
"9337 Bald Hill Road, Omaha, NE 68107",41.2123169,-95.956825
"61 Fawn St. Valley, Stream, NY 11580",40.67103789999999,-73.706594
"422 Longbranch St. Saginaw, MI 48601",43.4194699,-83.9508068
"23 N. Oakland Street Upper Marlboro, MD 20772",38.8813739,-77.10445709999999
"319 SE. York Lane Jackson Heights, NY 11372",40.7527924,-73.8801301
"132 South Center Ave., Ashtabula, OH 44004",41.84662160000001,-80.7879407
"651 Miller Drive, Garfield, NJ 07026",40.8814882,-74.113198
"585 Warren St., Goose Creek, SC 29445",33.0026132,-79.99759159999999
"362 Richardson Drive, Marlton, NJ 08053",39.8912248,-74.9218324
"274 Pumpkin Hill Ave., Bartlett, IL 60103",41.979744,-88.1726456
"73 E. Elm Lane Saint Paul, MN 55104",41.903208,-87.6267008
"9905 Devonshire Dr. Huntersville, NC 28078",35.4379927,-80.8743375
"710 Franklin St. Osseo, MN 55311",45.1194091,-93.4024532
"81 Homewood Drive, Helotes, TX 78023",29.5780056,-98.6897451
"9549 Nicolls Dr., Ashburn, VA 20147",39.047958,-77.4816693
"669 Andover Street, Huntsville, AL 35803",34.8232375,-86.5126762
"15 Pilgrim Dr. Greenville, NC 27834",35.612661,-77.3663538
"88 Glenholme Street, Newark, NJ 07103",40.7426494,-74.18207029999999
"8747 8th Lane Edison, NJ 08817",40.5068936,-74.4226959
"8732 White Ave. North Attleboro, MA 02760",41.97181399999999,-71.3468091
"3895 Church Street, Clarkston, GA 30021, USA",33.8077297,-84.2399398
"7665 Honey Abbey, Koggiung, MA",58.86694439999999,-157.0075001
"9974 Round Bluff Villas, Hemp, NH",43.1938516,-71.5723953
"1103 Bombay Lane, Roswell, GA 30076, USA",34.053926,-84.33830909999999
"8462 Lazy Walk, Lumpkin, VA",37.4315734,-78.6568942
"4716 Cinder Cider Green, Bowbells, NH",48.8030833,-102.2460008
"7206 Hidden Alley, Badnation, HI",43.6516598,-100.3698566
"2991 Middle Branch Corner, Baltimore, MS",39.2628929,-76.6312911
"4501 Harvest Lagoon Trail, Screamer, VT",44.5588028,-72.57784149999999
“6375 Spalding Drive Suite B Norcross”,33.969213,-84.2578815
"4675 Highway 27 North, Carrollton, GA",33.67345299999999,-85.15016399999999
5370 Ash Street,33.6077576,-84.3631616
"1978 Mount Vernon Road, Atlanta, GA 30338, USA",33.9512386,-84.3205938
"4827 Indian Wharf, Dew Drop, NH, 03637-1315",43.1938516,-71.5723953
"9418 Lost Stead, Sioux Lookout, ME",50.0978321,-91.922038
"3185 Rocky Valley, Bumble Bee, ND",47.5514926,-101.0020119
"180 Foggy Lane, Line Store, MS",,
"4535 Silent Freeway, Bamboo, KY",37.8393332,-84.2700179
"6109 Bright Loop, Gaysport, WV",35.8838968,-78.736694
"8407 Fallen Moor, Oklahoma, WI",42.9882217,-88.00514919999999
"1761 Wishing Row, Churchill, PA",40.438402,-79.8431042
"6704 Little Quail Beach, Khwunrghunme, PA",41.2033216,-77.1945247
"5167 Gentle Butterfly Arbor, Absaraka",46.97763339999999,-97.3953528
"3837 Jagged Rise Point, Glenavon, ID",,
"3230 Cotton Diversion, New Market, AZ",34.0489281,-111.0937311
"1684 Colonial Prairie Parade, Dry Prong, SD",31.5812854,-92.53292019999999
"249 Waddell Street, Athens, GA",33.9538388,-83.3792311
"4889 Burning Horse Circuit, Hanna, NY",,
"99 Shady Bear Extension, Chuloonawick, GA",32.1656221,-82.9000751
"662 Colonial Beacon Highway, Kracker Station, OK",32.277369,-89.68535089999999
"2625 Middle Townline, Dot, CT",41.6032207,-73.087749
"2470 Crystal Bay, Chaplin, MS",39.2278272,-120.0047095
"4368 Hartley Bridge Road, Macon, GA",32.742335,-83.71754500000002
"1183 Golden Cape, Chew, ME",,
"8276 Easy Towers, Cantaloupe, TX",31.9685988,-99.9018131
"6278 Umber Lake Downs, Glen Comfort, TN",40.3935948,-105.4402726
"3199 Merry Maze, Powassan, UT",30.2849185,-97.7340567
"1310 Emerald Meadow, Folly, SD",29.71658,-95.78330059999999
"1125 Cozy Elk Centre, Wakatomika, SD",45.5485024,-122.6677464
"4350 Rocky Ridge, Rodney, CT",43.0645236,-89.3927229
"9678 Stony Branch Park, Curtin, WV",38.5976262,-80.4549026
"8447 Lazy Glade, Cloud Chief, ND",35.2525543,-98.843127
"1983 Little Anchor Private, Riverview, CT",41.6032207,-73.087749
"4564 Pleasant Sky Front, Counselor, CO",33.1563478,-94.9737104
"5942 Honey Blossom Freeway, Busti, MA",42.4072107,-71.3824374
"7327 Tawny Hills Way, Buffalolick, ID",,
"8335 Heather Edge, Thistledown, WV",38.5976262,-80.4549026
"1967 Grand Rabbit Pointe, Radical, CT",41.6032207,-73.087749
"3100 8th Street, Columbus, GA",32.459659,-84.94504599999999
"1203 Cozy Mews, Idahome, VT",44.5588028,-72.57784149999999
"6025 Gentle Robin Parkway, Live Easy, AR",,
"3967 Hidden Vale, Obsidian, MO",37.9642529,-91.8318334
"4896 Shady Drive, Toy, MS",,
"6616 Heather Spring Road, Duval, AZ",30.3500511,-81.6035062
"5157 Velvet Place, Fort Fizzle, SC",33.836081,-81.1637245
"8621 Stony Alley, Tobasco, IN",,
"2823 Merry Beacon Highlands, Horse Shoe Run, CA",39.2709385,-79.5142206
"5756 Old Manor, Star, PA",41.2033216,-77.1945247
"197 Indian Park, Birds Landing, SD",,
"1290 Dusty Rise, Kerrobert, NJ",51.9185447,-109.136794
"4172 Broad Wynd, Beaverton, NE",45.4887993,-122.8013332
"2450 Northwest 150th Street, Opa-locka, FL",25.9106846,-80.2421513
"4471 Bright Pines, Pilot Butte, NJ",35.174722,-79.392493
"7722 Quaking Arbor, Prohibition City, NJ",40.0583238,-74.4056612
"5617 Green Range, Tumtum, OH",47.89119849999999,-117.6843461
"4190 Rocky Brook Grounds, Trump, AZ",32.3561374,-111.1249825
"3074 Middle Pond Corner, Vibank, ID",50.3341298,-103.9458113
"4228 Cinder Wagon Gardens, Dovetail, MS",,
"12303 Southwest 133rd Court, Miami, FL",25.652899,-80.41042499999999
"7843 Fallen Carrefour, Rocky Ripple, HI",39.848097,-86.1724881
"8215 Blue Concession, Vixen, CO",,
"4661 Hazy Autoroute, Coffee City, IL",32.128173,-95.4987245
"4540 Silent Villas, Cinderella, GA",32.1656221,-82.9000751
"2149 Merry View Hill, Klickitat, TX",32.7405267,-97.1806795
"239 Green Quay, Dilly, WY",43.0759678,-107.2902839
"4351 Emerald Beach, Thrashers Corner, AK",47.8089866,-122.2079056
"1689 Osprey Bend, Weston, FL",26.1264403,-80.4164385
"7033 Jagged Turnabout, Satsop, HI",47.0031512,-123.4834945
"3168 Easy Way, Buchanan, AK",64.2008413,-149.4936733
"5185 Silver Panda Freeway, Rembrandt, VA",37.4315734,-78.6568942
"3483 Middle Robin Lane, Snow Tent, WA",47.7510741,-120.7401385
"75 East Indiantown Road, Concourse Village Shopping Center, Jupiter, FL",26.9352309,-80.09232519999999
"9561 Amber Leaf Mountain, Hat Creek, PA",41.2033216,-77.1945247
"7609 Cinder Treasure Lookout, Bootleg, HI",,
"747 Golden Gardens, Village Thirteen, KS",39.011902,-98.4842465
"6143 Tawny Branch Valley, Chapultepee, ID",44.2230142,-91.2812698
"3323 Little Ramp, Milk River, AK",64.2008413,-149.4936733
"91 Wishing Plaza, Modest, AZ",34.0489281,-111.0937311
"69 Clark Drive, Russellville, AL",34.4802285,-87.72716989999999
"6163 Old Subdivision, Daysland, ME",52.8655076,-112.2616348
"470 Thunder Green, Lumpkin, AR",,
"8868 Colonial Rise Orchard, Land of Pines, PA",30.5761133,-90.1355135
"4390 Sunny Mews, Sacred Heart, KY",37.8393332,-84.2700179
"9994 Rocky Cape, Goodtown, TN",-40.9175428,145.4782351
"4791 Umber Panda Grounds, Chuckanut, MO",48.5945323,-122.4217819
"9134 Gentle Cloud Avenue, Speers, MN",46.729553,-94.6858998
"6307 Dusty Sky Bend, Drumright, TN",44.0581728,-121.3153096
"9592 Noble Rabbit Crest, X-Prairie, ID",44.0682019,-114.7420408
"107 East 3rd Avenue, Crossett, AR 71635",33.132316,-91.96064799999999
"6628 Shady Point, Weeping Mary, MA",42.5553125,-71.68975929999999
"6140 Thunder Wood, Contoocook, MN",43.2220234,-71.7139655
"91 Tower Dr., Derry, NH 03038",42.8806437,-71.3273346
"29 E. Woodsman Street, Biloxi, MS 39532",30.5007553,-88.96053649999999
"19 Lancaster Street, Greensboro, NC 27405",36.1155274,-79.7512033
"811 Swanson St., Chesterton, IN 46304",41.6104929,-87.0604779
"470 Locust Drive Reno, NV 89523",39.5213626,-119.8003628
"105 Mountainview St., Bountiful, UT 84010",40.8852511,-111.8667729
"41 Ashley Ave., Taylor, MI 48180",42.2164077,-83.2720082
"40 N. Arch Road, Wilmette, IL 60091",42.08057429999999,-87.7320368
"7139 Madison Dr. Sulphur, LA 70663",30.2223211,-93.32974689999999
"838 Corona Rd. Owosso, MI 48867",43.0089792,-84.20679919999999
"59 E. Philmont Rd., Edison, NJ 08817",40.5063715,-74.383363
"7474 Carpenter St. Chesterfield, VA 23832",37.3770935,-77.5049863
"17 Gonzales Street Oak Lawn, IL 60453",41.719978,-87.7479528
"17 Pennsylvania Dr., Vincentown, NJ 08088",41.2033216,-77.1945247
"58 Thorne St. Alabaster, AL 35007",33.2288218,-86.7919009
"364 Gonzales Rd. Lansing, MI 48910",42.7043124,-84.5327038
"82 Ann Drive, Frederick, MD 21701",39.417902,-77.410286
"186 Armstrong Street Omaha, NE 68107",41.3039161,-96.1554269
"833 N. Roosevelt Ave., Joliet, IL 60435",41.5416201,-88.10802559999999
"76 Helen St. Yua, City, CA 95993",39.1258583,-121.6279333
"9825 Ridgeview St., Greenwood, SC 29646",34.1954001,-82.1617883
"9675 Sugar Court, Saint Joseph, MI 49085",42.0938577,-86.4895463
"154 Brickyard Dr., Conyers, GA 30012",33.7177663,-83.99558789999999
"758 Walnutwood Lane, Stratford, CT 06614",41.1995528,-73.1306731
"304 Airport St., Adrian, MI 49221",41.8818264,-84.0629286
"618 Augusta Lane, Mooresville, NC 28115",35.5804111,-80.804743
"781 Bedford Street, Camas, WA 98607",45.5874666,-122.4045037
"881 West Pennsylvania Court, Salem, MA 01970",42.5233226,-70.8966427
"78 Shore Ave., Monroe Township, NJ 08831",40.336419,-74.43304739999999
"81 Jefferson Ave., Gibsonia, PA 15044",40.6300567,-79.9703318
"9337 Bald Hill Road, Omaha, NE 68107",41.2123169,-95.956825
"61 Fawn St. Valley, Stream, NY 11580",40.67103789999999,-73.706594
"422 Longbranch St. Saginaw, MI 48601",43.4194699,-83.9508068
"23 N. Oakland Street Upper Marlboro, MD 20772",38.8813739,-77.10445709999999
"319 SE. York Lane Jackson Heights, NY 11372",40.7527924,-73.8801301
"132 South Center Ave., Ashtabula, OH 44004",41.84662160000001,-80.7879407
"651 Miller Drive, Garfield, NJ 07026",40.8814882,-74.113198
"585 Warren St., Goose Creek, SC 29445",33.0026132,-79.99759159999999
"362 Richardson Drive, Marlton, NJ 08053",39.8912248,-74.9218324
"274 Pumpkin Hill Ave., Bartlett, IL 60103",41.979744,-88.1726456
"73 E. Elm Lane Saint Paul, MN 55104",41.903208,-87.6267008
"9905 Devonshire Dr. Huntersville, NC 28078",35.4379927,-80.8743375
"710 Franklin St. Osseo, MN 55311",45.1194091,-93.4024532
"81 Homewood Drive, Helotes, TX 78023",29.5780056,-98.6897451
"9549 Nicolls Dr., Ashburn, VA 20147",39.047958,-77.4816693
"669 Andover Street, Huntsville, AL 35803",34.8232375,-86.5126762
"15 Pilgrim Dr. Greenville, NC 27834",35.612661,-77.3663538
"88 Glenholme Street, Newark, NJ 07103",40.7426494,-74.18207029999999
"8747 8th Lane Edison, NJ 08817",40.5068936,-74.4226959
"8732 White Ave. North Attleboro, MA 02760",41.97181399999999,-71.3468091
"3895 Church Street, Clarkston, GA 30021, USA",33.8077297,-84.2399398
"7665 Honey Abbey, Koggiung, MA",58.86694439999999,-157.0075001
"9974 Round Bluff Villas, Hemp, NH",43.1938516,-71.5723953
"1103 Bombay Lane, Roswell, GA 30076, USA",34.053926,-84.33830909999999
"8462 Lazy Walk, Lumpkin, VA",37.4315734,-78.6568942
"4716 Cinder Cider Green, Bowbells, NH",48.8030833,-102.2460008
"7206 Hidden Alley, Badnation, HI",43.6516598,-100.3698566
"2991 Middle Branch Corner, Baltimore, MS",39.2628929,-76.6312911
"4501 Harvest Lagoon Trail, Screamer, VT",44.5588028,-72.57784149999999
“6375 Spalding Drive Suite B Norcross”,33.969213,-84.2578815
"4675 Highway 27 North, Carrollton, GA",33.67345299999999,-85.15016399999999
5370 Ash Street,33.6077576,-84.3631616
,,
"4501 Harvest Lagoon Trail, Screamer, VT",44.5588028,-72.57784149999999
“6375 Spalding Drive Suite B Norcross”,33.969213,-84.2578815
"4675 Highway 27 North, Carrollton, GA",33.67345299999999,-85.15016399999999
5370 Ash Street,33.6077576,-84.3631616
"1978 Mount Vernon Road, Atlanta, GA 30338, USA",33.9512386,-84.3205938
"4827 Indian Wharf, Dew Drop, NH, 03637-1315",43.1938516,-71.5723953
"9418 Lost Stead, Sioux Lookout, ME",50.0978321,-91.922038
"3185 Rocky Valley, Bumble Bee, ND",47.5514926,-101.0020119
"180 Foggy Lane, Line Store, MS",,
"4535 Silent Freeway, Bamboo, KY",37.8393332,-84.2700179
"6109 Bright Loop, Gaysport, WV",35.8838968,-78.736694
"8407 Fallen Moor, Oklahoma, WI",42.9882217,-88.00514919999999
"1761 Wishing Row, Churchill, PA",40.438402,-79.8431042
"6704 Little Quail Beach, Khwunrghunme, PA",41.2033216,-77.1945247
"5167 Gentle Butterfly Arbor, Absaraka",46.97763339999999,-97.3953528
"3837 Jagged Rise Point, Glenavon, ID",,
"3230 Cotton Diversion, New Market, AZ",34.0489281,-111.0937311
"1684 Colonial Prairie Parade, Dry Prong, SD",31.5812854,-92.53292019999999
"249 Waddell Street, Athens, GA",33.9538388,-83.3792311
"4889 Burning Horse Circuit, Hanna, NY",,
"99 Shady Bear Extension, Chuloonawick, GA",32.1656221,-82.9000751
"662 Colonial Beacon Highway, Kracker Station, OK",32.277369,-89.68535089999999
"2625 Middle Townline, Dot, CT",41.6032207,-73.087749
"2470 Crystal Bay, Chaplin, MS",39.2278272,-120.0047095
"4368 Hartley Bridge Road, Macon, GA",32.742335,-83.71754500000002
"1183 Golden Cape, Chew, ME",,
"8276 Easy Towers, Cantaloupe, TX",31.9685988,-99.9018131
"6278 Umber Lake Downs, Glen Comfort, TN",40.3935948,-105.4402726
"3199 Merry Maze, Powassan, UT",30.2849185,-97.7340567
"1310 Emerald Meadow, Folly, SD",29.71658,-95.78330059999999
"1125 Cozy Elk Centre, Wakatomika, SD",45.5485024,-122.6677464
"4350 Rocky Ridge, Rodney, CT",43.0645236,-89.3927229
"9678 Stony Branch Park, Curtin, WV",38.5976262,-80.4549026
"8447 Lazy Glade, Cloud Chief, ND",35.2525543,-98.843127
